id,time,lat,lon,depth,mag,place
113,2015-09-15T05:04:43.890Z,34.7732,24.988,15,4.7,29km SSW of Pirgos - Greece
114,2015-09-14T03:21:56.630Z,37.6033,22.0402,10.8,4.1,24km NNW of Megalopolis - Greece
115,2015-09-13T02:57:27.600Z,37.1173,28.9672,4.35,4.5,35km SSW of Konak - Turkey
116,2015-09-13T01:04:35.130Z,43.5572,11.2764,4.11,4.2,4km SW of Greve - Italy
117,2015-09-10T08:12:45.000Z,38.7907,26.1375,5,4.7,28km SW of Plomarion - Greece
118,2015-09-07T09:59:33.420Z,35.2813,23.3151,54.28,4.1,33km W of Palaiochora - Greece
119,2015-09-01T13:26:29.440Z,70.2843,-15.3895,10,4.4,247km E of Ittoqqortoormiit - Greenland
120,2015-08-31T06:02:44.570Z,37.32,30.726,128.6,4.1,19km SE of Bucak - Turkey
121,2015-08-30T13:28:04.520Z,37.7704,21.2755,31.76,4.6,5km SSW of Savalia - Greece
122,2015-08-29T20:25:14.390Z,38.4924,12.1774,7.46,4.3,60km NNW of Trapani - Italy
123,2015-08-29T18:47:04.120Z,46.2498,13.641,2.24,4,4km E of Kobarid - Slovenia
124,2015-08-29T18:12:49.260Z,36.3095,27.6768,81.34,4,18km WNW of Emponas - Greece
125,2015-08-29T04:55:34.670Z,34.5122,26.0553,27.92,4.2,59km S of Makry Gialos - Greece
126,2015-08-27T16:01:47.280Z,40.7787,21.259,10,4.5,12km W of Florina - Greece
127,2015-08-27T00:47:22.170Z,34.3953,25.6203,17.8,4.3,69km S of Ierapetra - Greece
128,2015-08-27T00:25:06.230Z,34.3238,25.6252,11.2,4.8,76km S of Ierapetra - Greece
129,2015-08-26T23:01:44.220Z,37.304,36.9733,6.5,4.2,14km SE of Turkoglu - Turkey
130,2015-08-26T20:41:55.970Z,40.7122,21.2378,7.6,4.2,16km WSW of Florina - Greece
131,2015-08-24T16:09:15.850Z,36.9718,30.7296,96.62,4.2,7km NNE of Antalya - Turkey
132,2015-08-24T04:25:20.320Z,40.7015,21.2695,16.2,4.4,14km SW of Florina - Greece
133,2015-08-20T02:56:47.900Z,38.15,20.42,18,4.4,5km S of Lixourion - Greece
134,2015-08-18T21:58:13.570Z,35.5486,31.2887,43.77,4.1,118km WNW of Polis - Cyprus
135,2015-08-18T21:19:44.530Z,35.6473,31.2871,47.26,5,115km SW of Gazipasa - Turkey
136,2015-08-18T16:24:34.700Z,34.0655,25.964,36.74,4.2,106km SSE of Ierapetra - Greece
137,2015-08-14T15:20:54.930Z,34.0775,26.2189,19.25,4.4,109km SSE of Makry Gialos - Greece
138,2015-08-14T04:46:58.810Z,34.1941,26.2427,21.51,4.2,97km SSE of Makry Gialos - Greece
139,2015-08-13T06:26:36.280Z,34.6424,24.9995,10,4.2,41km SSW of Pirgos - Greece
140,2015-08-09T22:31:00.800Z,35.53,22.67,52,4.3,84km W of Platanos - Greece
141,2015-08-09T21:39:19.400Z,38.14,22.05,69,4.4,11km SSW of Temeni - Greece
142,2015-08-08T22:46:24.720Z,38.55,14.26,14,4.1,59km N of Santo Stefano di Camastra - Italy
143,2015-08-08T17:22:20.950Z,39.245,21.4107,6.53,4.4,28km W of Neochorion - Greece
144,2015-08-06T15:03:59.300Z,53.176,2.168,4,4.2,62km NNE of Hemsby - United Kingdom
145,2015-08-03T07:27:51.490Z,39.142,16.6001,19.16,4.3,12km N of Albi - Italy
146,2015-08-03T00:55:53.240Z,35.2083,27.7821,12.01,4,61km ESE of Karpathos - Greece
147,2015-08-02T06:58:06.750Z,39.34,15.69,240,4.4,28km SW of Acquappesa - Italy
148,2015-08-01T18:48:25.370Z,36.56,28.2337,75.58,4,13km N of Rodos - Greece
149,2015-07-31T16:04:43.750Z,34.9425,24.2765,43.7,4.5,41km WSW of Ayia Galini - Greece
150,2015-07-30T23:37:13.330Z,67.1299,20.6582,15.96,4,0km SSE of Gaellivare - Sweden
151,2015-07-30T15:04:11.480Z,34.3172,33.6631,35.59,4.8,57km S of Perivolia - Cyprus
152,2015-07-29T22:00:55.810Z,36.5646,34.9787,29.62,4.9,35km W of Karatas - Turkey
153,2015-07-27T09:55:09.390Z,36.1065,31.15,11,4.1,71km SE of Tekirova - Turkey
154,2015-07-27T02:23:45.390Z,34.8148,22.8694,28.97,4.5,87km WSW of Palaiochora - Greece
155,2015-07-26T18:40:42.800Z,40.4635,23.9647,11.3,4.1,9km NE of Ierissos - Greece
156,2015-07-25T18:35:52.270Z,37.1478,28.7378,5.5,4,28km E of Ula - Turkey
157,2015-07-24T09:58:38.280Z,36.703,26.8098,140.62,5.1,14km WSW of Kefalos - Greece
158,2015-07-24T06:54:09.000Z,40.2527,26.302,11.3,4.2,8km NNW of Eceabat - Turkey
159,2015-07-24T02:39:43.740Z,40.2844,26.266,9.73,4.8,13km NW of Eceabat - Turkey
160,2015-07-24T01:26:00.650Z,40.248,26.297,11.6,4.4,8km NW of Eceabat - Turkey
161,2015-07-21T16:29:15.930Z,34.6918,32.9576,7.77,4.3,0km N of Ypsonas - Cyprus
162,2015-07-19T19:18:04.090Z,51.57,16.11,1,4,5km SW of Grebocice - Poland
163,2015-07-19T11:30:47.060Z,48.0951,23.6567,4.6,4,8km WSW of Neresnytsya - Ukraine
164,2015-07-14T16:54:07.230Z,34.6125,24.083,10,4.4,77km SSE of Palaiochora - Greece
165,2015-07-13T23:35:10.010Z,45.6612,26.4432,147.9,4,18km SE of Comandau - Romania
166,2015-07-12T16:10:10.820Z,37.7982,21.8397,19.08,4.5,14km NE of Lalas - Greece
167,2015-07-12T08:32:50.090Z,36.9718,28.36,6.2,4.1,15km NNE of Marmaris - Turkey
168,2015-07-09T10:41:36.430Z,36.833,27.0428,10,4.4,5km WNW of Antimacheia - Greece
169,2015-07-08T22:14:01.010Z,37.6097,29.5202,6.7,4,22km E of Serinhisar - Turkey
170,2015-07-08T06:53:19.340Z,51.5919,16.0691,5,4.7,6km W of Grebocice - Poland
171,2015-07-07T04:53:31.600Z,38.39,20.67,16,4.4,5km NW of Ithaki - Greece
172,2015-07-06T23:58:09.590Z,42.381,19.3946,20.7,4.3,5km ENE of Tuzi - Montenegro
173,2015-07-06T21:34:03.730Z,36.1107,21.4041,25.91,4.6,83km SSW of Methoni - Greece
174,2015-07-06T18:49:07.290Z,37.404,20.8681,10,4.1,34km S of Lithakia - Greece
175,2015-07-06T13:42:17.060Z,42.3635,19.3734,20.35,4.4,3km E of Tuzi - Montenegro
176,2015-07-05T14:26:48.040Z,45.6957,26.6526,132.9,4.4,5km WSW of Nereju - Romania
177,2015-07-01T05:00:05.320Z,63.7217,-23.2416,10,4.5,42km WSW of Grindavik - Iceland
178,2015-07-01T04:59:27.900Z,63.8622,-23.1378,10,4.5,28km SW of Sandgerdi - Iceland
179,2015-07-01T02:25:42.560Z,63.8386,-23.0179,10,4.5,26km SW of Sandgerdi - Iceland
180,2015-07-01T02:23:58.810Z,63.9994,-23.2388,10,4.4,26km W of Sandgerdi - Iceland
181,2015-06-30T07:40:01.390Z,70.9823,-7.7137,10,5.3,37km E of Olonkinbyen - Svalbard and Jan Mayen
182,2015-06-30T06:07:22.590Z,36.7706,21.5351,10,4.6,16km WSW of Methoni - Greece
183,2015-06-29T22:20:56.000Z,46.0347,27.1698,21.4,4.3,4km NNW of Pufesti - Romania
184,2015-06-29T11:36:37.760Z,39.1593,21.7345,21.68,4.5,13km S of Neochorion - Greece
185,2015-06-24T08:37:15.210Z,36.6375,27.1302,147.19,4.8,16km S of Kardamaina - Greece
186,2015-06-20T19:52:43.900Z,34.3082,26.2262,15.25,5,84km SSE of Makry Gialos - Greece
187,2015-06-18T21:21:11.980Z,71.5224,11.0348,10,4.3,Norwegian Sea
188,2015-06-18T01:52:58.900Z,35.08,26.7,10,4,43km ESE of Palaikastron - Greece
189,2015-06-11T03:08:28.960Z,63.9175,-22.7669,10.48,4.5,13km SW of Keflavik - Iceland
190,2015-06-09T23:25:27.790Z,34.995,26.7435,29.9,4.1,50km ESE of Palaikastron - Greece
191,2015-06-09T21:49:46.700Z,35.04,26.79,16,5.4,52km ESE of Palaikastron - Greece
192,2015-06-09T20:11:15.900Z,38.6195,23.39,15.1,4,10km ENE of Larimna - Greece
193,2015-06-09T01:09:03.000Z,38.62,23.39,13,5.3,11km ENE of Larimna - Greece
194,2015-06-08T22:20:41.760Z,34.239,26.2331,10,4.7,92km SSE of Makry Gialos - Greece
195,2015-06-04T21:42:41.490Z,36.7686,20.5945,29.55,4.2,97km WSW of Filiatra - Greece
196,2015-06-04T21:15:59.250Z,36.8179,20.5196,10,4.1,101km WSW of Filiatra - Greece
